data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/04/2026,2019,1,United States,Cocaine,12 month-ending,01/31/2019,15613,
01/04/2026,2019,1,United States,Fentanyl,12 month-ending,01/31/2019,30367,
01/04/2026,2019,1,United States,Gabapentin,12 month-ending,01/31/2019,1935,
01/04/2026,2019,1,United States,Heroin,12 month-ending,01/31/2019,15475,
01/04/2026,2019,1,United States,Methamphetamine,12 month-ending,01/31/2019,12059,
01/04/2026,2019,1,United States,Oxycodone,12 month-ending,01/31/2019,5029,
01/04/2026,2019,1,United States,Xylazine,12 month-ending,01/31/2019,123,
01/04/2026,2019,2,United States,Cocaine,12 month-ending,02/28/2019,15607,
01/04/2026,2019,2,United States,Fentanyl,12 month-ending,02/28/2019,30533,
01/04/2026,2019,2,United States,Gabapentin,12 month-ending,02/28/2019,1955,
01/04/2026,2019,2,United States,Heroin,12 month-ending,02/28/2019,15455,
01/04/2026,2019,2,United States,Methamphetamine,12 month-ending,02/28/2019,12219,
01/04/2026,2019,2,United States,Oxycodone,12 month-ending,02/28/2019,4976,
01/04/2026,2019,2,United States,Xylazine,12 month-ending,02/28/2019,139,
01/04/2026,2019,3,United States,Cocaine,12 month-ending,03/31/2019,15568,
01/04/2026,2019,3,United States,Fentanyl,12 month-ending,03/31/2019,30818,
01/04/2026,2019,3,United States,Gabapentin,12 month-ending,03/31/2019,1966,
01/04/2026,2019,3,United States,Heroin,12 month-ending,03/31/2019,15390,
01/04/2026,2019,3,United States,Methamphetamine,12 month-ending,03/31/2019,12476,
01/04/2026,2019,3,United States,Oxycodone,12 month-ending,03/31/2019,4894,
01/04/2026,2019,3,United States,Xylazine,12 month-ending,03/31/2019,180,
01/04/2026,2019,4,United States,Cocaine,12 month-ending,04/30/2019,15565,
01/04/2026,2019,4,United States,Fentanyl,12 month-ending,04/30/2019,31035,
01/04/2026,2019,4,United States,Gabapentin,12 month-ending,04/30/2019,1940,
01/04/2026,2019,4,United States,Heroin,12 month-ending,04/30/2019,15288,
01/04/2026,2019,4,United States,Methamphetamine,12 month-ending,04/30/2019,12708,
01/04/2026,2019,4,United States,Oxycodone,12 month-ending,04/30/2019,4852,
01/04/2026,2019,4,United States,Xylazine,12 month-ending,04/30/2019,223,
01/04/2026,2019,5,United States,Cocaine,12 month-ending,05/31/2019,15554,
01/04/2026,2019,5,United States,Fentanyl,12 month-ending,05/31/2019,31226,
01/04/2026,2019,5,United States,Gabapentin,12 month-ending,05/31/2019,1932,
01/04/2026,2019,5,United States,Heroin,12 month-ending,05/31/2019,15195,
01/04/2026,2019,5,United States,Methamphetamine,12 month-ending,05/31/2019,12969,
01/04/2026,2019,5,United States,Oxycodone,12 month-ending,05/31/2019,4794,
01/04/2026,2019,5,United States,Xylazine,12 month-ending,05/31/2019,253,
01/04/2026,2019,6,United States,Cocaine,12 month-ending,06/30/2019,15537,
01/04/2026,2019,6,United States,Fentanyl,12 month-ending,06/30/2019,31432,
01/04/2026,2019,6,United States,Gabapentin,12 month-ending,06/30/2019,1993,
01/04/2026,2019,6,United States,Heroin,12 month-ending,06/30/2019,15054,
01/04/2026,2019,6,United States,Methamphetamine,12 month-ending,06/30/2019,13201,
01/04/2026,2019,6,United States,Oxycodone,12 month-ending,06/30/2019,4749,
01/04/2026,2019,6,United States,Xylazine,12 month-ending,06/30/2019,299,
01/04/2026,2019,7,United States,Cocaine,12 month-ending,07/31/2019,15643,
01/04/2026,2019,7,United States,Fentanyl,12 month-ending,07/31/2019,31861,
01/04/2026,2019,7,United States,Gabapentin,12 month-ending,07/31/2019,2093,
01/04/2026,2019,7,United States,Heroin,12 month-ending,07/31/2019,14959,
01/04/2026,2019,7,United States,Methamphetamine,12 month-ending,07/31/2019,13487,
01/04/2026,2019,7,United States,Oxycodone,12 month-ending,07/31/2019,4711,
01/04/2026,2019,7,United States,Xylazine,12 month-ending,07/31/2019,367,
01/04/2026,2019,8,United States,Cocaine,12 month-ending,08/31/2019,15822,
01/04/2026,2019,8,United States,Fentanyl,12 month-ending,08/31/2019,32383,
01/04/2026,2019,8,United States,Gabapentin,12 month-ending,08/31/2019,2153,
01/04/2026,2019,8,United States,Heroin,12 month-ending,08/31/2019,14831,
01/04/2026,2019,8,United States,Methamphetamine,12 month-ending,08/31/2019,13756,
01/04/2026,2019,8,United States,Oxycodone,12 month-ending,08/31/2019,4636,
01/04/2026,2019,8,United States,Xylazine,12 month-ending,08/31/2019,421,
01/04/2026,2019,9,United States,Cocaine,12 month-ending,09/30/2019,16018,
01/04/2026,2019,9,United States,Fentanyl,12 month-ending,09/30/2019,32943,
01/04/2026,2019,9,United States,Gabapentin,12 month-ending,09/30/2019,2218,
01/04/2026,2019,9,United States,Heroin,12 month-ending,09/30/2019,14705,
01/04/2026,2019,9,United States,Methamphetamine,12 month-ending,09/30/2019,14095,
01/04/2026,2019,9,United States,Oxycodone,12 month-ending,09/30/2019,4621,
01/04/2026,2019,9,United States,Xylazine,12 month-ending,09/30/2019,468,
01/04/2026,2019,10,United States,Cocaine,12 month-ending,10/31/2019,16296,
01/04/2026,2019,10,United States,Fentanyl,12 month-ending,10/31/2019,33641,
01/04/2026,2019,10,United States,Gabapentin,12 month-ending,10/31/2019,2354,
01/04/2026,2019,10,United States,Heroin,12 month-ending,10/31/2019,14602,
01/04/2026,2019,10,United States,Methamphetamine,12 month-ending,10/31/2019,14473,
01/04/2026,2019,10,United States,Oxycodone,12 month-ending,10/31/2019,4619,
01/04/2026,2019,10,United States,Xylazine,12 month-ending,10/31/2019,515,
01/04/2026,2019,11,United States,Cocaine,12 month-ending,11/30/2019,16679,
01/04/2026,2019,11,United States,Fentanyl,12 month-ending,11/30/2019,34549,
01/04/2026,2019,11,United States,Gabapentin,12 month-ending,11/30/2019,2496,
01/04/2026,2019,11,United States,Heroin,12 month-ending,11/30/2019,14658,
01/04/2026,2019,11,United States,Methamphetamine,12 month-ending,11/30/2019,14810,
01/04/2026,2019,11,United States,Oxycodone,12 month-ending,11/30/2019,4650,
01/04/2026,2019,11,United States,Xylazine,12 month-ending,11/30/2019,587,
01/04/2026,2019,12,United States,Cocaine,12 month-ending,12/31/2019,16997,
01/04/2026,2019,12,United States,Fentanyl,12 month-ending,12/31/2019,35473,
01/04/2026,2019,12,United States,Gabapentin,12 month-ending,12/31/2019,2579,
01/04/2026,2019,12,United States,Heroin,12 month-ending,12/31/2019,14525,
01/04/2026,2019,12,United States,Methamphetamine,12 month-ending,12/31/2019,15096,
01/04/2026,2019,12,United States,Oxycodone,12 month-ending,12/31/2019,4630,
01/04/2026,2019,12,United States,Xylazine,12 month-ending,12/31/2019,627,
01/04/2026,2020,1,United States,Cocaine,12 month-ending,01/31/2020,17356,
01/04/2026,2020,1,United States,Fentanyl,12 month-ending,01/31/2020,36420,
01/04/2026,2020,1,United States,Gabapentin,12 month-ending,01/31/2020,2713,
01/04/2026,2020,1,United States,Heroin,12 month-ending,01/31/2020,14456,
01/04/2026,2020,1,United States,Methamphetamine,12 month-ending,01/31/2020,15370,
01/04/2026,2020,1,United States,Oxycodone,12 month-ending,01/31/2020,4679,
01/04/2026,2020,1,United States,Xylazine,12 month-ending,01/31/2020,662,
01/04/2026,2020,2,United States,Cocaine,12 month-ending,02/29/2020,17784,
01/04/2026,2020,2,United States,Fentanyl,12 month-ending,02/29/2020,37554,
01/04/2026,2020,2,United States,Gabapentin,12 month-ending,02/29/2020,2851,
01/04/2026,2020,2,United States,Heroin,12 month-ending,02/29/2020,14420,
