"","LINKCODE","CASEID","GRNID","YEAR","LANG","ITWMETHOD","GDREGION","REGLING","REGURB","TYPCOM","SIZECOM","OFS4","OFS6","OFSTXT4","OFSTXT6","TRAD3","TRAD6","TRAD12","TRAD35","RTENURE","FOUNDED","UPFUSION","UPNUMBER","UPNUMBERcorr","MERGE","HAVEDEN","BLDGTYPE","OWNBLDG","OFFMBRLIST","NUMOFFMBR","NUMTOTAL","NUMREGLR","IMPNUMREGLR","NUMADLTS","CHANGE","CHANGE10","PARISHW1","PARISHW2","LEGALDEF","RECYCLE","GRNELEC","GRNRG","CLERGONE","CLERGYOU","CLERGSEX","CLERGAGE","CLERGBORN","CLERGNAT","CLERGNAT1","CLERGNAT2","FORMLEVEL","SWISSORG","CLERGRAD","CLERFORM","CLERPAID","CLERWKPCT","CLERFT","STRGPLAN","BOARDNUM","BOARDGEN","BRDGENPCT","STAFFNUM","STAFFGEN","STAFFWMPCT","FTSTAFF","FTSTAFFWM","STFTWMPCT","FTSTFCHG","FTSTFCHG10","OUTUPSTF","OUTUPFTSTF","OUTUPWMSTF","VLTRS","WMVLTRS","LOCSERV","NUMSERV1","CVDWSHP","NUMCVDWSHP","LASTSERV","LENGTH","SERMON","SERMTIME","SINGING","SINGWAY","MUSICMIN","INSTMENT","ORGAN","PIANO","DRUMS","GUITAR","GONG","BELLS","COMNGO","RITGEST","STAND","SIT","GENDERSEP","JUMP","MEDITATE","CONGREAD","SPONPRAY","APPLAUSE","LAUGH","OVERHEAD","ROBE","RELOBJECTS","TONGUES","INERRANT","RICHFAITH","GRNWSHP","NGRNWSHP","GRNSERMON","GRNREL","NUMATTND","MAINLANG","NATLANG","OTHLANG","OTHLANG1","OTHLANG2","JOINTWOR","TRADWOR","CATHWOR","CATCHWOR","REFWOR","EVANWOR","ORTHWOR","XOTHWOR","JEWWOR","MUSLMWOR","BUDWOR","HINDWOR","KIDCLASS","FRQKIDCL","CLS13_14W1","CLS13_14W2","TEENRGLR","YTHMNSTR","YTHGRP","WOMGRP","MENGRP","CHORUS","LRNLANG","NEWMEMS","OTHTRAD","GRNGRP","OTHGRPS","POLITICS","POLSENSIB","SIGNTURE","LISSUE1","LISSUE2","LISSUE3","GRNPUB","GRNSTRIKE","GRNORGXCHNG","GRNORGA1","GRNORGA2","GRNORGA3","GRNAWR","GRNAWRBG","GRNAWRLD","CVCONTACT","CVSUPPRT","SOCLSERV","TYPSERV1","TYPSERV2","TYPSERV3","PLNTCONG","COMPRELMBR","COMPRELYNG","COMPLEISR","COMPWRK","RECRUIT","ADVERT","INVITE","RECRVISIT","RECRCONF","EMAIL","WEBSITE","WSHPWEB","SOCNETACT","DISCRIM","INCOME","CVDBFINCOM","CLERBUDG","CLERSLRY","FEMPCT","GT60PCT","LT35PCT","BAPCT","POORPCT","RICHPCT","EUCHPCT","EURNOCHPCT","SWISSPCT","MREURCTRY","MROTHREG","MBRALCMD","MBRCOHBT","MBRGAY","LDRALCMD","LDRCOHBT","LDRGAY","WMNVLTR","WMNBRD","WMNTCH","WMNPRCH","WMNLEAD","LIBCON","LIBCONDTL","THEOLOGY","THEOLOGYDTL","EVNGLCAL","CATHMVT","UPTREATED","coefRedMbrs","coefRedStf","coefSample","coefUp","w1Cong","w3AttCong","combined","STATUS"
"1",100164,814,277,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune périurbaine de moyenne densité",3434,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2014,1524,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",1300,NA,NA,200,NA,"A augmenté de 10% ou plus","A augmenté de 10% ou plus",NA,"Oui","Association","Oui",NA,NA,"Oui","Oui","Homme",NA,"Allemagne","Nationalité étrangère","Europe de l'Ouest",NA,"Université, EPF",NA,"Oui",NA,"Oui",100,NA,"Oui",9,7,77.7777777777778,NA,NA,NA,NA,NA,NA,"A diminué","A diminué",NA,NA,NA,35,30,2,1,"Oui","Une fois par mois ou moins","Moins d'une semaine",60,"Oui",15,"Oui","Projetées",22,"Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Des chaises","Non","Non","Oui","Oui","Non","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Oui",2,"Oui",NA,30,"Allemand","Langue principale est une langue nationale","Non","Pas de deuxième langue","Pas de troisième langue","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Non",14,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Non",NA,NA,"Oui","Oui","Oui","Mission",NA,NA,"Non","Faible concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Oui","Oui","Non","Non","Oui","Oui","Non","Oui",NA,NA,NA,"Oui",NA,70,70,NA,NA,NA,NA,NA,NA,90,"Allemagne",NA,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Au centre","Au centre","Plus sur l'aile libérale","Modérément libérale",NA,NA,"Non",1,1,0.35768941142177,1,0.35768941142177,0.485525326552496,"Reformed Protestant greenSampling noMission noJehovah","Présente en 2009 et en 2023"
"2",100211,5171,NA,"2022","Français","CATI","Région lémanique","Région linguistique française","Urbain","Commune urbaine d’une petite ou hors agglomération",16842,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2015,NA,"Oui",5,3,"Non","Oui","Oui","Propriétaire","Non",NA,200,NA,500,NA,"S'est globalement maintenu","S'est globalement maintenu",NA,"Non","Association","Oui","Oui","Non","Oui","Oui","Homme",50,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",100,NA,"Oui",1.4,0.8,57.1428571428571,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu","S’est globalement maintenu","Non",NA,NA,12,8,15,10,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",60,"Oui",10,"Oui","Par coeur",25,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non",NA,"Oui","Non",40,"Français","Langue principale est une langue nationale","Oui","Latin","Autres","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",10,"Oui","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Non",NA,NA,"Oui","Non","Oui","Entraide / développement","Action sociale en Suisse","Entraide / développement","Non","Faible concurrence","Faible concurrence","Très forte concurrence","Faible concurrence","Oui","Non","Oui","Non","Oui","Oui","Oui","Non","Oui","Non",NA,NA,"Oui",NA,60,90,5,50,0,5,NA,30,70,"Portugal","Afrique subsaharienne","Oui","Oui","Oui","Oui","Oui",NA,"Oui","Oui","Oui","Non","Non","Au centre","Au centre","Juste au milieu","Au millieu",NA,5,"Oui",1,1,1.83833531712294,0.74859287054409,1.49397855743132,6.23836159708568,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"3",100288,3755,NA,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune d’un centre rural",6940,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2018,1900,"Oui",2,7,"Oui","Oui","Oui","Propriétaire","Oui",575,NA,15,15,12.5,"S'est globalement maintenu",NA,NA,"Oui","Association","Oui",NA,"Non","Oui","Oui","Homme",62,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",100,NA,"Oui",2.5,0.5,20,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu",NA,"Oui",NA,NA,10,6.5,3,5,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",50,"Oui",10,"Oui","Cantique/feuilles",15,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","Non","Oui",NA,"Non",NA,"Oui","Oui",12.5,"Allemand","Langue principale est une langue nationale","Oui","Portugais","Anglais","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,NA,NA,NA,"Non",NA,"Oui","Non","Non","Non","Non","Non","Non","Non",NA,"Oui","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Oui",NA,"Des membres","Oui","Non","Oui","Entraide / développement","Entraide / développement",NA,"Non","Pas de concurrence","Faible concurrence","Forte concurrence","Faible concurrence","Oui","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Non",NA,NA,NA,NA,60,60,10,33,5,NA,NA,40,60,"Portugal",NA,NA,NA,NA,NA,NA,NA,"Oui","Oui","Oui","Oui","Non",NA,NA,NA,NA,NA,NA,"Oui",1,1,1.83833531712294,1.74671669793621,3.48594996733975,0.187150847912571,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"4",100617,6575,NA,"2022","Français","CATI","Espace Mittelland","Région linguistique française","Rural","Commune périurbaine de faible densité",312,4114,411402,"Bouddhisme Zen","Association Zen International (AZI)","Non-chrétiennes","Bouddhistes","Bouddhistes","Bouddhistes",1982,1982,NA,NA,NA,"Non","Oui","Non","Propriétaire","Oui",NA,15,15,15,15,"S'est globalement maintenu","S'est globalement maintenu",NA,"Non","Association","Oui","Non","Oui","Oui","Oui","Femme",72,"Suisse","Suisse","Suisse",NA,"Ecole post-obligatoire (gymnase, culture générale, école normale, etc.)","Suisse d'origine","Non",NA,"Non",100,NA,"Oui",9,6,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1,7,"Oui","Une fois par mois ou moins","Moins d'une semaine",20,"Non",NA,"Oui","Cantique/feuilles",0,"Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Autre chose","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non",NA,"Non","Non","Non",NA,"Oui","Non",10,"Autres","Langue principale n'est pas une langue nationale","Non","Pas de deuxième langue","Pas de troisième langue","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,"Non",0,"Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Non",NA,NA,"Non","Non","Non",NA,NA,NA,"Non","Pas de concurrence","Pas de concurrence","Pas de concurrence","Pas de concurrence","Non","Non","Non","Non","Non","Oui","Oui","Non","Oui","Non",NA,NA,"Non",0,50,NA,NA,NA,NA,NA,NA,NA,80,"France",NA,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui",NA,NA,NA,NA,NA,NA,"Non",1,1,0.55229717760458,1,0.55229717760458,0.0562263500709889,"Buddhist noGreenSampling noMission noJehovah","Apparue entre 2009 et 2023"
"5",100977,4636,NA,"2022","Allemand","CATI","Zürich","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune périurbaine de moyenne densité",5572,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",1993,1983,"Non",1,1,"Non","Oui","Non","Paye un loyer","Oui",2500,700,700,700,450,"A diminué de 10% ou plus","S'est globalement maintenu",NA,"Oui","Association","Oui","Oui","Oui","Oui","Oui","Homme",68,"Suisse","Suisse","Suisse",NA,"Formation professionnelle (apprentissage, maîtrise, école professionnelle supérieure, etc.)","Suisse d'origine","Non",NA,"Non",10,NA,"Oui",4,2,50,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu","A augmenté",NA,NA,NA,80,60,1,5,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",70,"Oui",15,"Oui","Cantique/feuilles",15,"Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Non",NA,"Oui","Non",120,"Allemand","Langue principale est une langue nationale","Oui","Suisse-Allemand","Italien","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",NA,"Oui","Non","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Oui","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Oui",2022,"De l'association faîtière","Oui","Oui","Oui",NA,NA,NA,"Non","Faible concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui",NA,NA,NA,"Oui",1e+05,60,60,10,NA,2,NA,NA,40,50,"Pologne","Amérique latine","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui",NA,"Non",NA,NA,NA,NA,NA,20,"Non",1,1,1.83833531712294,0.24953095684803,0.497992852477107,8.73370623591996,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"6",101030,1331,NA,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Urbain","Commune urbaine d’une petite ou hors agglomération",17468,1123,112303,"Communautés darbystes ou des frères","Église pour Christ (EpC)","Chrétiennes non-établies","Chrétiennes","Évangéliques (conservatrices)","Darbystes",1991,1940,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Non",NA,90,70,70,50,"S'est globalement maintenu","A augmenté de moins de 10%",NA,"Non","Association","Non",NA,"Non","Oui","Oui","Homme",59,"Suisse","Suisse","Suisse",NA,"Formation professionnelle (apprentissage, maîtrise, école professionnelle supérieure, etc.)","Suisse d'origine","Non",NA,"Non",15,NA,"Oui",NA,0,0,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,NA,NA,1,1,"Oui","Entre une fois par mois et une fois par semaine","Moins d'une semaine",60,"Oui",40,"Oui","Projetées",15,"Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Des chaises","Non","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non",NA,"Non","Non",70,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Français","Italien","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",10,"Oui","Oui","Oui","Non","Non","Oui","Non","Oui","Non","Non","Oui","Oui","Oui","Autres",NA,NA,"Non","Non","Non",NA,NA,NA,NA,NA,NA,"Non","Oui","Oui",NA,NA,NA,"Non","Faible concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Non","Oui","Non","Oui","Oui","Oui","Oui","Oui","Oui",NA,NA,"Oui",0,50,30,45,15,0,NA,NA,5,80,"Allemagne","Amérique du Nord","Oui","Oui","Oui",NA,NA,"Non",NA,"Non","Non","Non","Non","Au centre","Au centre","Juste au milieu","Au millieu",NA,NA,"Non",1,1,0.481939417494595,1,0.481939417494595,0.228963522416335,"Evangelical (Conservative) noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"7",101186,4267,NA,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune périurbaine de moyenne densité",1013,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2017,2007,"Oui",5,5,"Oui","Oui","Oui","Propriétaire","Oui",2000,800,800,800,700,"A diminué de 10% ou plus",NA,NA,"Oui","Association",NA,NA,NA,"Oui","Non","Homme",40,"Allemagne",NA,NA,NA,NA,NA,NA,NA,"Oui",100,NA,"Oui",1,0.2,20,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu",NA,"Oui",NA,NA,NA,NA,7,6,"Oui","Une fois par mois ou moins","Moins d'une semaine",35,"Oui",3,"Oui","Cantique/feuilles",10,"Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Oui","Non","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Oui","Oui","Oui",NA,"Oui","Oui",1.6,"Allemand","Langue principale est une langue nationale","Oui","Anglais","Français","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",NA,"Oui","Oui","Oui","Non","Oui","Non","Oui","Oui","Oui","Non","Non","Oui",NA,NA,NA,NA,"Non","Oui","Oui","Caritas",NA,NA,"Non",NA,NA,"Oui","Oui","Oui","Entraide / développement","Mission",NA,"Non","Pas de concurrence","Pas de concurrence",NA,NA,"Non","Non","Non",NA,"Non","Oui","Oui","Non",NA,"Non",NA,NA,NA,NA,60,70,20,NA,NA,NA,NA,NA,95,NA,NA,"Oui","Oui","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Non",NA,NA,"Juste au milieu","Au millieu",NA,0,"Oui",1,1,1.83833531712294,1.24765478424015,2.48996426238554,9.98137855533709,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"8",101624,5806,NA,"2022","Français","CATI","Région lémanique","Région linguistique française","Urbain","Commune urbaine d’une grande agglomération",203951,1412,141207,"Eglises chrétiennes orthodoxes","Patriarcat œcuménique de Constantinople","Chrétiennes non-établies","Chrétiennes","Chrétiennes - orthodoxes","Chrétiennes-orthodoxes",1982,1976,NA,NA,NA,"Non","Oui","Oui","Paye un loyer","Oui",150,350,80,80,60,"A diminué de moins de 10%","A augmenté de 10% ou plus",NA,"Oui",NA,"Oui","Non","Non","Oui","Oui","Homme",79,"Roumanie","Suisse","Suisse",NA,"Université, EPF","Suisse par acquisition ou par mariage","Oui",NA,"Non",90,NA,"Oui",20,12,60,NA,NA,NA,NA,NA,NA,"A augmenté","A augmenté",NA,NA,NA,60,55,1,3,"Oui","Entre une fois par mois et une fois par semaine","Plus de deux mois",120,"Oui",15,"Oui","Cantique/feuilles",90,"Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Des bancs","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Oui",5,"Oui","Oui",80,"Autres","Langue principale n'est pas une langue nationale","Oui","Français","Pas de troisième langue","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",15,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Non",NA,NA,NA,"Oui","Non","Non",NA,NA,NA,"Non",NA,NA,"Non","Oui","Non",NA,NA,NA,"Non","Pas de concurrence","Pas de concurrence","Pas de concurrence","Pas de concurrence","Oui","Oui","Oui","Non","Non","Oui","Non",NA,"Non","Non",NA,NA,"Non",NA,40,70,40,20,10,NA,NA,40,10,"Roumanie",NA,"Non","Oui","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non",NA,NA,"Juste au milieu","Au millieu",NA,NA,"Non",1,1,0.902907668763816,1,0.902907668763816,0.490240445173684,"Orthodox Christian noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"9",101694,387,NA,"2022","Allemand","CATI","Zürich","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune périurbaine de moyenne densité",3751,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2012,1530,NA,NA,NA,"Oui","Oui","Oui","Propriétaire","Oui",13000,300,15,15,15,"S'est globalement maintenu","S'est globalement maintenu",NA,"Oui","Association","Non","Oui","Non","Oui","Oui","Femme",54,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse par acquisition ou par mariage","Oui",NA,"Oui",80,NA,"Oui",9,6,66.6666666666667,NA,NA,NA,NA,NA,NA,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,100,70,9,1,"Oui","Entre une fois par mois et une fois par semaine","Moins d'une semaine",45,"Oui",8,"Oui","Cantique/feuilles",15,"Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Des chaises","Non","Non","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui",1,"Oui","Oui",30,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Anglais","Français","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",150,"Oui","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Oui","Non","Non","Non",NA,NA,NA,"Oui","Oui","Non",NA,NA,NA,"Oui",2015,"De l'association faîtière","Oui","Oui","Oui","Entraide / développement","Mission","Entraide / développement","Non","Pas de concurrence","Faible concurrence","Pas de concurrence","Faible concurrence","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non",NA,NA,"Non",130000,NA,NA,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,"Europe de l'Ouest","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","De gauche","Légèrement de gauche","Plus sur l'aile libérale","Fortement libérale",NA,NA,"Non",1,1,0.810448903247747,1,0.810448903247747,0.08250736305823,"Reformed Protestant noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"10",101729,1359,NA,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune d’un centre rural",1681,1123,112303,"Communautés darbystes ou des frères","Église pour Christ (EpC)","Chrétiennes non-établies","Chrétiennes","Évangéliques (conservatrices)","Darbystes",2000,1923,NA,NA,NA,"Non","Oui","Non","Propriétaire","Non",NA,NA,NA,30,NA,NA,NA,NA,"Non","Association","Oui",NA,"Oui","Oui","Oui","Homme",40,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Non","Non","Non",NA,NA,"Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"Oui","Entre une fois par mois et une fois par semaine","Moins d'une semaine",105,"Oui",45,"Oui","Projetées",20,"Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Des chaises","Non","Non","Oui","Non","Oui","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non",NA,"Oui",NA,NA,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Français","Anglais","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",NA,"Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non",NA,NA,NA,NA,"Non","Non",NA,NA,NA,NA,"Oui",NA,NA,"Oui","Oui","Oui",NA,NA,NA,"Oui","Pas de concurrence","Pas de concurrence","Pas de concurrence","Faible concurrence","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui",NA,NA,NA,"Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non",NA,NA,NA,NA,NA,NA,"Non",1,1,0.481939417494595,1,0.481939417494595,0.0981272238927149,"Evangelical (Conservative) noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
